Fecha_Contratacion,Monto_Colocado,tech_cat,domestic_cat,credit_cat,online_cat,fin_help_cat,trump_dolar_rem,calendario,nacimiento,Robaron,Asaltaron,Credito
29/09/2017,162472920.6,49,28,42,19,7,73,0,5596,2,0,3
30/09/2017,33936369.01,57,36,27,17,5,68,0,6773,0,0,1
01/10/2017,4769314.91,59,34,16,20,4,61,0,7043,0,0,0
02/10/2017,193960983.4,45,28,29,18,7,80,0,6966,0,0,1
03/10/2017,170574741,45,26,27,16,7,79,0,7032,2,0,3
04/10/2017,146036753.1,46,25,24,16,7,81,0,7190,0,0,8
05/10/2017,140391382.9,43,29,25,16,7,76,0,6218,2,0,2
06/10/2017,155268859.7,45,28,29,17,8,76,0,5383,1,0,2
07/10/2017,22639860.86,55,34,19,18,5,69,0,6727,2,0,3
08/10/2017,29173156.73,57,32,11,18,3,57,0,6822,0,0,1
09/10/2017,159827932.1,47,26,25,20,7,81,0,6630,0,0,3
10/10/2017,150142762.8,44,31,24,17,6,89,0,6780,0,0,9
11/10/2017,140110727.8,40,34,23,16,9,85,0,6892,2,0,2
12/10/2017,150617457.5,41,27,24,17,6,84,0,6180,1,0,6
13/10/2017,194160422.4,42,29,32,18,6,89,0,5036,0,0,2
14/10/2017,39121241.42,56,37,24,18,5,76,0,6651,0,0,2
15/10/2017,12835088.91,54,35,13,17,3,61,0,6695,0,0,3
16/10/2017,189171637.5,46,29,28,18,10,95,0,6563,3,0,1
17/10/2017,186653592.1,42,30,28,17,10,94,0,6726,0,0,4
18/10/2017,164639666.4,40,32,25,17,9,88,0,6948,4,0,7
19/10/2017,163446497.9,41,31,25,17,7,80,0,5910,2,0,2
20/10/2017,190350175,42,28,28,17,6,80,0,5118,1,1,3
21/10/2017,28822365.91,52,35,20,17,4,67,0,6358,1,0,3
22/10/2017,10265685.21,52,33,14,18,5,62,0,6790,2,0,1
23/10/2017,191736959.4,40,28,25,19,7,81,0,6452,0,0,4
24/10/2017,147814232.3,41,27,24,18,7,84,0,6715,1,0,4
25/10/2017,145503621.5,40,30,25,17,6,88,0,6813,2,0,7
26/10/2017,152478470.8,40,31,26,17,6,84,0,5814,0,0,8
27/10/2017,171292952.9,45,26,29,18,7,82,0,5031,2,0,0
28/10/2017,28696704.21,51,30,22,15,4,64,0,6349,0,0,0
29/10/2017,9624076.68,57,32,16,17,3,55,0,6312,0,0,1
30/10/2017,192002347.4,44,26,30,18,6,68,0,6541,3,0,0
31/10/2017,165979600,40,25,32,16,7,63,10000,6097,0,0,9
01/11/2017,143530989.2,43,31,29,17,7,60,10000,6161,1,0,10
02/11/2017,19124287.99,52,31,22,19,5,59,0,5335,2,0,5
03/11/2017,148524454.9,57,28,31,20,5,67,0,5067,0,0,6
04/11/2017,25869319.65,69,32,24,19,4,55,0,6504,0,0,6
05/11/2017,1230964.36,65,36,15,19,4,46,0,6830,0,0,4
06/11/2017,148388316,54,29,29,21,6,65,0,6631,0,0,3
07/11/2017,129557208.1,55,26,26,19,5,64,0,6713,2,0,0
08/11/2017,135614188.6,50,25,24,21,6,62,0,6586,2,0,2
09/11/2017,144893537.2,47,25,24,21,6,58,0,5814,2,0,5
10/11/2017,148719055.6,47,35,27,20,6,55,0,5120,0,0,8
11/11/2017,27789030.47,59,30,20,22,3,50,0,6453,1,0,5
12/11/2017,11398463.82,63,32,11,24,3,50,0,6491,0,0,3
13/11/2017,175765464.3,51,43,24,23,6,60,0,6249,1,0,2
14/11/2017,157535347.3,48,27,29,23,6,59,0,6217,7,0,4
15/11/2017,152874557,46,27,31,25,6,56,0,6569,1,0,2
16/11/2017,141113693,48,28,28,26,5,62,0,5690,0,0,6
17/11/2017,151287273.3,62,33,33,44,5,59,0,4947,0,0,6
18/11/2017,23104674.95,78,44,26,44,3,52,10000,5468,2,0,4
19/11/2017,6871343.15,81,44,18,39,3,45,10000,6327,1,0,3
20/11/2017,9033818.15,77,44,17,38,3,51,10000,6473,4,0,1
21/11/2017,169742991.8,58,31,27,33,5,64,10000,6470,0,0,4
22/11/2017,147698375.1,50,29,26,31,5,61,0,6579,1,0,0
23/11/2017,146047683.6,48,31,26,33,5,61,0,5708,0,0,10
24/11/2017,138620057,50,31,28,56,6,67,10000,4930,1,0,10
25/11/2017,21577793.85,62,34,21,42,4,54,0,6102,1,0,1
26/11/2017,6299222.84,62,39,15,34,3,49,0,6391,2,0,2
27/11/2017,153178744.8,53,35,29,41,5,63,0,6158,4,1,0
28/11/2017,137570294.2,45,25,26,32,5,66,0,6179,0,1,1
29/11/2017,164309050.4,45,26,28,25,5,58,0,6202,0,0,5
30/11/2017,177722234.7,44,27,33,24,5,60,0,5460,0,0,4
01/12/2017,124709056.8,48,39,31,25,5,58,0,4966,0,0,0
02/12/2017,15820818.43,58,31,24,25,4,53,0,6122,0,0,2
03/12/2017,5554376.18,65,39,14,27,4,47,0,6423,0,0,0
04/12/2017,119541573.1,53,28,27,26,5,62,0,6369,0,0,4
05/12/2017,118301710.6,52,27,26,25,6,56,0,6433,0,0,6
06/12/2017,128250436.7,47,26,23,24,5,58,0,6541,1,0,5
07/12/2017,139826995,46,29,24,24,5,63,0,5683,2,1,4
08/12/2017,148451786.7,51,40,27,23,4,61,0,4848,0,0,6
09/12/2017,1417300,66,32,25,27,4,56,0,6171,0,0,0
10/12/2017,17900545.23,68,39,14,28,4,47,0,6537,0,0,1
11/12/2017,235363894.3,57,35,30,29,5,63,0,6227,4,0,2
12/12/2017,49537915.72,60,32,26,29,6,64,0,6478,2,0,2
13/12/2017,219025847.1,56,27,31,28,7,67,0,6092,0,0,4
14/12/2017,78940014.65,56,28,31,28,6,59,0,5884,1,0,5
15/12/2017,308851079.5,61,27,36,29,7,59,0,4952,0,1,1
16/12/2017,54014756.78,72,32,26,29,4,55,0,6302,0,0,2
17/12/2017,13822241.84,79,36,14,32,4,55,0,6547,0,0,2
18/12/2017,174546787.1,70,34,32,34,6,70,0,6445,2,0,3
19/12/2017,166144807.5,68,30,35,33,7,66,0,6373,0,1,1
20/12/2017,157712898.5,69,30,32,32,8,75,0,6679,0,0,2
21/12/2017,147629895.1,76,31,31,31,5,75,0,5811,0,0,6
22/12/2017,143559013.7,79,35,37,29,4,78,0,4977,0,0,0
23/12/2017,20903791.83,82,37,23,27,3,79,0,5901,0,0,2
24/12/2017,9780293.31,89,33,11,27,3,62,10000,5171,2,0,0
25/12/2017,5815802.27,100,32,8,28,2,62,10000,4132,0,0,0
26/12/2017,130974643.5,94,35,30,33,4,96,0,6238,0,0,2
27/12/2017,112786256.8,86,36,30,31,3,100,0,6571,0,0,0
28/12/2017,109407699.8,84,33,32,32,4,89,0,5414,2,1,1
29/12/2017,113768109.6,84,34,37,27,3,80,0,4650,0,0,3
30/12/2017,20300790.33,89,34,27,26,2,65,0,5679,1,0,1
31/12/2017,6610466.3,80,34,12,25,1,54,10000,4745,0,0,0
01/01/2018,3582208.95,72,42,8,24,2,56,10000,4351,0,0,2
02/01/2018,188007247.4,80,37,29,32,5,85,0,5814,0,0,2
03/01/2018,166279668.7,78,34,28,32,5,80,0,6655,0,0,5
04/01/2018,167564894.4,83,35,29,30,4,79,0,5860,2,0,1
05/01/2018,158520148.8,79,34,31,29,4,82,0,4817,2,0,2
06/01/2018,15787324.41,93,40,23,26,3,67,10000,6050,2,0,3
07/01/2018,14659968.05,85,46,15,27,3,61,10000,6283,1,0,0
08/01/2018,205464501.9,61,35,28,28,5,73,0,6099,0,0,0
09/01/2018,188909230.5,59,30,27,26,5,69,0,6181,0,0,3
10/01/2018,180510113.2,53,29,26,25,5,69,0,6525,0,0,3
11/01/2018,179115080.8,53,29,27,24,6,70,0,5673,1,0,5
12/01/2018,200262155.7,54,31,29,23,5,83,0,4755,1,0,2
13/01/2018,28549945.22,63,39,24,24,4,67,0,5920,3,0,1
14/01/2018,8196987,65,45,13,24,3,54,0,6160,0,0,0
15/01/2018,212460041.6,52,30,30,24,5,71,0,6069,0,0,0
16/01/2018,181501318.4,49,28,28,24,5,64,0,6147,2,0,3
17/01/2018,186599968,50,30,27,22,5,66,0,6342,0,0,0
18/01/2018,176487054.4,51,30,26,24,5,68,0,5596,0,1,0
19/01/2018,190430339.3,50,32,29,23,6,67,0,4686,4,0,1
20/01/2018,20013779.58,62,36,21,22,4,65,0,6170,1,0,7
21/01/2018,5749127.04,61,39,15,25,3,57,0,6318,0,0,0
22/01/2018,206090383.6,52,32,29,24,6,66,0,5972,3,0,0
23/01/2018,175056134.5,49,31,24,22,6,65,0,5887,0,0,8
24/01/2018,176612239.1,48,30,26,22,6,66,0,6306,0,0,4
25/01/2018,159406849,47,32,25,23,6,65,0,5422,0,0,1
26/01/2018,177553258.1,49,33,28,22,6,64,0,4739,2,0,0
27/01/2018,22046872.95,58,38,22,22,4,59,0,5815,0,0,0
28/01/2018,6298593.57,62,40,15,23,4,48,0,6300,3,0,1
29/01/2018,198059972.4,49,33,27,22,6,64,0,5931,0,0,4
30/01/2018,175178306.9,45,30,29,21,6,60,0,5968,1,0,2
31/01/2018,208831759.2,44,28,30,20,6,46,0,6059,0,0,0
01/02/2018,141202196,41,33,28,22,6,40,0,5532,2,0,5
02/02/2018,138266512.9,44,30,29,21,6,40,0,4674,0,0,0
03/02/2018,1516600,55,35,26,22,4,37,0,5146,1,1,1
04/02/2018,712900,61,42,16,23,3,29,10000,6096,0,0,0
05/02/2018,9400,58,38,16,24,3,37,0,6321,1,0,0
06/02/2018,206407755.5,47,31,27,23,6,48,0,6166,0,0,3
07/02/2018,154155243,43,28,26,20,6,42,0,6300,1,0,2
08/02/2018,158177426.8,41,28,25,21,5,44,0,5536,0,1,0
09/02/2018,168853161.8,43,29,27,19,5,40,0,4674,0,0,8
10/02/2018,1164812.9,84,59,36,35,6,35,0,6051,2,0,5
11/02/2018,1388500,83,66,24,35,6,28,0,6155,0,0,2
12/02/2018,231351834.8,67,51,38,34,9,38,0,6048,2,0,4
13/02/2018,169115174.1,66,50,42,33,9,38,0,5915,0,0,0
14/02/2018,165927239,59,60,41,29,7,34,10000,6232,1,0,5
15/02/2018,157736557.7,67,52,50,34,7,37,0,5532,1,0,0
16/02/2018,169278194.6,65,48,48,33,9,38,0,4663,0,0,2
17/02/2018,2823958.28,86,58,38,31,7,33,0,6027,3,0,0
18/02/2018,2986582.85,86,60,25,37,7,28,0,6229,0,0,5
19/02/2018,209690341.5,69,64,44,32,8,37,0,6022,0,0,0
20/02/2018,152639527.7,69,56,40,30,10,35,0,6120,0,0,1
21/02/2018,153578529.9,67,45,40,31,10,35,0,6209,0,0,4
22/02/2018,147221155.1,71,47,40,31,9,36,0,5339,0,0,0
23/02/2018,163246155.8,79,47,45,32,9,36,0,4570,1,0,2
24/02/2018,1032474.85,86,54,39,36,8,33,0,5867,1,0,0
25/02/2018,1918900,89,60,24,33,5,27,0,5935,0,0,0
26/02/2018,216824833.5,71,47,46,35,9,37,0,5718,0,0,5
27/02/2018,175143934.4,69,44,45,32,9,36,0,5766,1,0,4
28/02/2018,214577144.9,70,44,51,32,9,36,0,5871,2,0,0
01/03/2018,171071194.5,69,46,46,33,9,37,0,5367,0,0,2
02/03/2018,185733008.5,67,46,48,33,9,38,0,4620,0,0,0
03/03/2018,25008630.12,83,61,42,34,6,34,0,5943,0,0,0
04/03/2018,38724344,83,100,26,33,7,27,0,5955,1,0,0
05/03/2018,219994758.5,69,57,44,33,10,38,0,5994,1,0,3
06/03/2018,218868976,62,55,41,33,9,38,0,6024,0,0,0
07/03/2018,227031000.8,62,46,40,33,8,37,0,6268,0,0,4
08/03/2018,231685920,60,46,38,30,9,35,0,5499,1,0,2
09/03/2018,219907072.6,69,46,42,36,9,39,0,4582,0,0,0
10/03/2018,48086881.15,83,55,39,37,8,31,0,5946,0,0,2
11/03/2018,17195504.19,85,59,25,40,6,30,0,5833,1,0,0
12/03/2018,246101608.4,69,50,43,38,9,37,0,6015,2,0,0
13/03/2018,204368237.8,62,47,43,36,10,38,0,5934,0,1,3
14/03/2018,191239785.4,61,49,40,35,9,35,0,6158,0,0,3
15/03/2018,209453867.8,62,44,47,34,11,34,0,5541,0,0,0
16/03/2018,211600415.9,67,44,49,33,12,38,0,4686,0,0,6
17/03/2018,34057899.7,83,58,39,34,7,30,0,5062,2,0,0
18/03/2018,9132255.75,89,64,30,37,7,29,0,5788,0,0,0
19/03/2018,11887238.97,85,55,26,39,8,32,0,6136,1,0,2
20/03/2018,226585384.9,72,45,48,33,10,36,0,6312,0,0,4
21/03/2018,192759834.1,68,41,44,31,10,33,0,6313,0,0,0
22/03/2018,192455536.3,62,44,43,31,10,36,0,5593,3,0,5
23/03/2018,168834496.2,69,44,50,33,11,38,0,4682,0,0,0
24/03/2018,31261156.36,87,62,37,31,8,32,0,5830,0,0,0
25/03/2018,12414694.83,90,55,21,38,5,33,10000,6107,0,0,4
26/03/2018,226743423.9,83,49,50,41,8,41,10000,5919,0,0,0
27/03/2018,172522900.6,84,53,50,36,7,39,10000,5838,1,0,0
28/03/2018,184421857.6,83,54,62,35,5,38,10000,6186,1,0,3
29/03/2018,13761028.15,92,51,42,37,5,33,10000,5226,1,0,0
30/03/2018,11710448.68,98,64,26,36,6,29,10000,4505,0,0,0
31/03/2018,15695446.42,93,72,32,37,5,30,10000,5613,1,0,0
01/04/2018,6774457.38,94,65,26,35,4,30,10000,6081,1,0,0
02/04/2018,205351568.4,83,49,54,38,9,45,0,5888,0,0,0
03/04/2018,185256435.5,83,59,49,36,8,46,0,5897,2,0,2
04/04/2018,172911977.9,81,57,49,36,9,41,0,6194,0,0,8
05/04/2018,183708104,77,51,47,36,7,49,0,5305,0,0,4
06/04/2018,179634759.6,79,50,46,36,7,100,0,4335,0,0,1
07/04/2018,29727310.11,85,58,38,35,4,62,0,5790,1,0,6
08/04/2018,29968043.38,88,76,26,35,5,42,0,6078,2,0,2
09/04/2018,271993564.2,73,49,43,36,8,44,0,5865,2,0,7
10/04/2018,240305585.4,66,52,41,34,8,40,0,6040,1,1,0
11/04/2018,248941319.9,64,62,40,33,7,39,0,6059,2,0,2
12/04/2018,206182111.3,66,43,41,33,7,36,0,5334,2,0,3
13/04/2018,213834311.5,66,45,53,34,7,41,0,4519,0,0,0
14/04/2018,37361446.27,80,58,39,32,5,77,0,6200,2,0,1
15/04/2018,12781061.52,87,60,26,34,4,42,0,6533,2,0,2
16/04/2018,231724901.7,70,48,49,35,6,47,0,6206,0,0,0
17/04/2018,188897073.1,71,43,46,35,6,42,0,5252,1,0,2
18/04/2018,191823445.1,66,47,43,35,7,39,0,4700,0,0,4
19/04/2018,179205701.2,65,44,43,36,7,38,0,4627,2,0,6
20/04/2018,194856104.9,67,44,45,33,7,37,0,4336,2,0,2
21/04/2018,26335548.32,81,56,36,39,5,31,0,5947,0,0,2
22/04/2018,10827958.85,85,59,25,36,4,30,0,6118,2,0,0
23/04/2018,217964067.2,65,49,50,36,6,39,0,5980,2,0,5
24/04/2018,184810876.3,66,48,43,34,6,42,0,6063,2,0,5
25/04/2018,185859730.7,67,53,40,34,6,43,0,6013,1,0,8
26/04/2018,194605506.5,67,61,43,33,7,41,0,5152,0,0,0
27/04/2018,204188165.1,72,53,53,32,5,41,0,4526,1,0,4
28/04/2018,22576757.71,80,58,45,34,5,30,0,6031,1,0,0
29/04/2018,5534002.08,92,61,28,35,3,28,0,5995,2,0,1
30/04/2018,259874079.9,74,47,60,36,7,37,0,6155,1,0,6
01/05/2018,8000643.08,84,68,36,37,6,33,0,5121,0,0,3
02/05/2018,204342533.6,68,53,48,35,6,19,0,5853,0,0,0
03/05/2018,180891673.6,65,49,47,35,9,20,0,5260,1,0,3
04/05/2018,178689154.4,70,51,51,34,9,20,0,4414,0,0,2
05/05/2018,21275293.3,86,56,37,36,6,17,0,5356,3,0,0
06/05/2018,26447263.08,87,86,26,40,4,15,0,6059,2,0,2
07/05/2018,266922793.5,67,49,44,35,7,21,0,6001,0,0,1
08/05/2018,230225608.3,66,44,42,34,7,25,0,6047,2,0,1
09/05/2018,236873236.9,67,46,45,36,7,28,0,5919,0,0,0
10/05/2018,185646539.5,74,46,40,36,5,21,10000,4986,0,0,2
11/05/2018,211278858.8,34,28,22,16,2,21,0,4691,0,0,4
12/05/2018,34213787.49,38,26,17,17,2,16,0,6168,0,0,3
13/05/2018,19322514.24,41,27,10,17,2,15,0,5977,0,0,2
14/05/2018,260322357.5,34,25,23,17,2,19,0,6151,0,1,0
15/05/2018,208796997.1,33,22,23,16,2,24,0,5926,1,0,1
16/05/2018,199029494.6,31,22,21,16,3,24,0,6017,0,0,1
17/05/2018,189907654.6,29,22,21,15,3,23,0,5419,0,0,6
